FIPS,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Area Name,Tribal Tract,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: Asian Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: Asian Alone,Per Capita Income (In 2022 Inflation Adjusted Dollars),Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved WithIn Same County,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different County WithIn Same State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Different State,% Population 1 Year and Over in Households in the United States: Householder Lived in Renter-Occupied Housing Units: Moved From Abroad,Average Commute to Work (In Min),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,Gini Index
6001430102,"Census Tract 4301.02, Alameda County, California",ca,140,0,6,1,430102,Census Tract 4301.02,,2459,2459,1478,22,563,60.11,0.89,22.9,75113,54,8,5,0,2.23,0.33,0.21,0,35,1081,836,81,0,39,77.34,7.49,0,3.61,0.4296
6001430200,"Census Tract 4302, Alameda County, California",ca,140,0,6,1,430200,Census Tract 4302,,7713,7713,4133,266,2199,53.58,3.45,28.51,66998,165,0,0,0,2.17,0,0,0,36,3388,2372,244,105,21,70.01,7.2,3.1,0.62,0.3966
6001430300,"Census Tract 4303, Alameda County, California",ca,140,0,6,1,430300,Census Tract 4303,,4290,4290,2211,21,1128,51.54,0.49,26.29,63269,0,9,173,0,0,0.21,4.08,0,31,2088,1628,98,0,0,77.97,4.69,0,0,0.3507
6001430400,"Census Tract 4304, Alameda County, California",ca,140,0,6,1,430400,Census Tract 4304,,2155,2155,1051,92,763,48.77,4.27,35.41,74680,0,7,0,0,0,0.33,0,0,32,1068,748,48,36,5,70.04,4.49,3.37,0.47,0.3096
6001430500,"Census Tract 4305, Alameda County, California",ca,140,0,6,1,430500,Census Tract 4305,,6250,6250,2145,2337,1266,34.32,37.39,20.26,42661,332,24,0,21,5.82,0.42,0,0.37,35,3194,2288,565,0,16,71.63,17.69,0,0.5,0.4284
6001430600,"Census Tract 4306, Alameda County, California",ca,140,0,6,1,430600,Census Tract 4306,,6244,6244,2772,245,2468,44.39,3.92,39.53,62741,53,0,0,0,0.87,0,0,0,30,3309,2298,160,0,41,69.45,4.84,0,1.24,0.4133
6001430700,"Census Tract 4307, Alameda County, California",ca,140,0,6,1,430700,Census Tract 4307,,4085,4085,1873,203,1282,45.85,4.97,31.38,49067,84,0,0,0,2.11,0,0,0,37,1842,1348,184,0,48,73.18,9.99,0,2.61,0.4444
6001430800,"Census Tract 4308, Alameda County, California",ca,140,0,6,1,430800,Census Tract 4308,,5814,5814,2814,49,2038,48.4,0.84,35.05,40617,21,26,33,0,0.37,0.45,0.58,0,35,2953,2268,159,0,79,76.8,5.38,0,2.68,0.4071
6001430900,"Census Tract 4309, Alameda County, California",ca,140,0,6,1,430900,Census Tract 4309,,5214,5214,1812,338,1460,34.75,6.48,28,44205,531,60,0,0,10.91,1.23,0,0,33,2538,1885,131,0,26,74.27,5.16,0,1.02,0.4269
6001431000,"Census Tract 4310, Alameda County, California",ca,140,0,6,1,431000,Census Tract 4310,,3091,3091,943,540,993,30.51,17.47,32.13,40745,423,49,42,0,13.81,1.6,1.37,0,36,1567,1159,197,32,57,73.96,12.57,2.04,3.64,0.4018
6001431100,"Census Tract 4311, Alameda County, California",ca,140,0,6,1,431100,Census Tract 4311,,3259,3259,1266,903,501,38.85,27.71,15.37,44036,209,37,50,0,6.55,1.16,1.57,0,39,2050,1440,108,0,28,70.24,5.27,0,1.37,0.3431
6001431200,"Census Tract 4312, Alameda County, California",ca,140,0,6,1,431200,Census Tract 4312,,5865,5865,2359,830,812,40.22,14.15,13.84,53843,229,17,43,0,4,0.3,0.75,0,32,2798,2326,129,0,0,83.13,4.61,0,0,0.3827
6001432100,"Census Tract 4321, Alameda County, California",ca,140,0,6,1,432100,Census Tract 4321,,3892,3892,1472,976,462,37.82,25.08,11.87,66762,98,143,15,0,2.56,3.74,0.39,0,30,2151,1304,257,9,35,60.62,11.95,0.42,1.63,0.3481
6001432200,"Census Tract 4322, Alameda County, California",ca,140,0,6,1,432200,Census Tract 4322,,3987,3987,1295,452,622,32.48,11.34,15.6,55087,66,53,0,17,1.71,1.37,0,0.44,37,1865,1311,186,12,82,70.29,9.97,0.64,4.4,0.5324
